PROJECT_ID,YEAR,SELECTED_MONTH,MONTH_DESCRIPTION,LAST_MODIFIED_ON,LAST_MODIFIED_BY
#P1,2017,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P1,2018,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P1,2019,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P1,2020,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P1,2021,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P1,2022,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P2,2017,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P2,2018,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P2,2019,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P2,2020,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P2,2021,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P2,2022,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P4,2017,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P4,2018,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P4,2019,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P4,2020,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P4,2021,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P4,2022,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P4,2023,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P5,2017,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P5,2018,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P5,2019,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P5,2020,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P5,2021,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P5,2022,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P6,2017,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P6,2018,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P6,2019,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P6,2020,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P6,2021,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P6,2022,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P6,2023,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P7,2017,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P7,2018,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P7,2019,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P7,2020,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P7,2021,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P7,2022,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER
#P7,2023,1,01,2017-01-01 09:00:00.0000000,#CONTROLLER